,Metal,IsolateID,Replicate,Concentration,factor,hours,od
1783,Cr,DR 24,1,0,0,6.92,0.089
1784,Cr,DR 24,2,0,0,6.92,0.089
1697,Cd,DR 24,2,0.001,1,6.92,0.09
1698,Cd,DR 24,3,0.001,1,6.92,0.09
1728,Pb,DR 24,3,100,5,6.92,0.09
1729,Zn,DR 24,1,0,0,6.92,0.09
1731,Zn,DR 24,3,0,0,6.92,0.09
1738,Zn,DR 24,1,10,3,6.92,0.09
1770,As,DR 24,3,0.001,1,6.92,0.09
1773,As,DR 24,3,0.01,2,6.92,0.09
1776,As,DR 24,3,0.1,3,6.92,0.09
1701,Cd,DR 24,3,0.01,2,6.92,0.091
1719,Pb,DR 24,3,0.1,2,6.92,0.091
1721,Pb,DR 24,2,1,3,6.92,0.091
1730,Zn,DR 24,2,0,0,6.92,0.091
1733,Zn,DR 24,2,0.1,1,6.92,0.091
1741,Zn,DR 24,1,100,4,6.92,0.091
1751,Hg,DR 24,2,0.001,1,6.92,0.091
1752,Hg,DR 24,3,0.001,1,6.92,0.091
1769,As,DR 24,2,0.001,1,6.92,0.091
1774,As,DR 24,1,0.1,3,6.92,0.091
1775,As,DR 24,2,0.1,3,6.92,0.091
1786,Cr,DR 24,1,0.01,1,6.92,0.091
1789,Cr,DR 24,1,0.1,2,6.92,0.091
1790,Cr,DR 24,2,0.1,2,6.92,0.091
1716,Pb,DR 24,3,0.01,1,6.92,0.092
1722,Pb,DR 24,3,1,3,6.92,0.092
1724,Pb,DR 24,2,10,4,6.92,0.092
1750,Hg,DR 24,1,0.001,1,6.92,0.092
1757,Hg,DR 24,2,0.1,3,6.92,0.092
1778,As,DR 24,2,1,4,6.92,0.092
1781,As,DR 24,2,10,5,6.92,0.092
1797,Cr,DR 24,3,10,4,6.92,0.092
1695,Cd,DR 24,3,0,0,6.92,0.093
1696,Cd,DR 24,1,0.001,1,6.92,0.093
1700,Cd,DR 24,2,0.01,2,6.92,0.093
1713,Pb,DR 24,3,0,0,6.92,0.093
1715,Pb,DR 24,2,0.01,1,6.92,0.093
1720,Pb,DR 24,1,1,3,6.92,0.093
1726,Pb,DR 24,1,100,5,6.92,0.093
1727,Pb,DR 24,2,100,5,6.92,0.093
1755,Hg,DR 24,3,0.01,2,6.92,0.093
1761,Hg,DR 24,3,1,4,6.92,0.093
1768,As,DR 24,1,0.001,1,6.92,0.093
1779,As,DR 24,3,1,4,6.92,0.093
1788,Cr,DR 24,3,0.01,1,6.92,0.093
1794,Cr,DR 24,3,1,3,6.92,0.093
1795,Cr,DR 24,1,10,4,6.92,0.093
1796,Cr,DR 24,2,10,4,6.92,0.093
1693,Cd,DR 24,1,0,0,6.92,0.094
1694,Cd,DR 24,2,0,0,6.92,0.094
1702,Cd,DR 24,1,0.1,3,6.92,0.094
1703,Cd,DR 24,2,0.1,3,6.92,0.094
1705,Cd,DR 24,1,1,4,6.92,0.094
1735,Zn,DR 24,1,1,2,6.92,0.094
1736,Zn,DR 24,2,1,2,6.92,0.094
1737,Zn,DR 24,3,1,2,6.92,0.094
1740,Zn,DR 24,3,10,3,6.92,0.094
1753,Hg,DR 24,1,0.01,2,6.92,0.094
1725,Pb,DR 24,3,10,4,6.92,0.095
1742,Zn,DR 24,2,100,4,6.92,0.095
1743,Zn,DR 24,3,100,4,6.92,0.095
1749,Hg,DR 24,3,0,0,6.92,0.095
1756,Hg,DR 24,1,0.1,3,6.92,0.095
1758,Hg,DR 24,3,0.1,3,6.92,0.095
1759,Hg,DR 24,1,1,4,6.92,0.095
1760,Hg,DR 24,2,1,4,6.92,0.095
1762,Hg,DR 24,1,10,5,6.92,0.095
1777,As,DR 24,1,1,4,6.92,0.095
1792,Cr,DR 24,1,1,3,6.92,0.095
1793,Cr,DR 24,2,1,3,6.92,0.095
1798,Cr,DR 24,1,100,5,6.92,0.095
1699,Cd,DR 24,1,0.01,2,6.92,0.096
1723,Pb,DR 24,1,10,4,6.92,0.096
1734,Zn,DR 24,3,0.1,1,6.92,0.096
1763,Hg,DR 24,2,10,5,6.92,0.096
1764,Hg,DR 24,3,10,5,6.92,0.096
1771,As,DR 24,1,0.01,2,6.92,0.096
1780,As,DR 24,1,10,5,6.92,0.096
1782,As,DR 24,3,10,5,6.92,0.096
1787,Cr,DR 24,2,0.01,1,6.92,0.096
1791,Cr,DR 24,3,0.1,2,6.92,0.096
1800,Cr,DR 24,3,100,5,6.92,0.097
1754,Hg,DR 24,2,0.01,2,6.92,0.098
1799,Cr,DR 24,2,100,5,6.92,0.098
1732,Zn,DR 24,1,0.1,1,6.92,0.099
1739,Zn,DR 24,2,10,3,6.92,0.099
1785,Cr,DR 24,3,0,0,6.92,0.099
1711,Pb,DR 24,1,0,0,6.92,0.1
1712,Pb,DR 24,2,0,0,6.92,0.104
1767,As,DR 24,3,0,0,6.92,0.105
1717,Pb,DR 24,1,0.1,2,6.92,0.106
1718,Pb,DR 24,2,0.1,2,6.92,0.106
1765,As,DR 24,1,0,0,6.92,0.118
2875,Cr,DR 26,2,100,5,7,0.009
2852,As,DR 26,2,0.1,3,7,0.01
2867,Cr,DR 26,3,0.1,2,7,0.01
2868,Cr,DR 26,1,1,3,7,0.01
2872,Cr,DR 26,2,10,4,7,0.01
2874,Cr,DR 26,1,100,5,7,0.01
2869,Cr,DR 26,2,1,3,7,0.011
2870,Cr,DR 26,3,1,3,7,0.011
2871,Cr,DR 26,1,10,4,7,0.011
2873,Cr,DR 26,3,10,4,7,0.011
2876,Cr,DR 26,3,100,5,7,0.011
2865,Cr,DR 26,1,0.1,2,7,0.012
2840,Hg,DR 26,1,10,5,7,0.013
2842,Hg,DR 26,3,10,5,7,0.014
2864,Cr,DR 26,3,0.01,1,7,0.014
2866,Cr,DR 26,2,0.1,2,7,0.015
2832,Hg,DR 26,2,0.01,2,7,0.016
2863,Cr,DR 26,2,0.01,1,7,0.017
2848,As,DR 26,1,0.01,2,7,0.019
2857,As,DR 26,1,10,5,7,0.019
2833,Hg,DR 26,3,0.01,2,7,0.022
2854,As,DR 26,1,1,4,7,0.024
2831,Hg,DR 26,1,0.01,2,7,0.026
2790,Cd,DR 26,3,10,5,7,0.029
2828,Hg,DR 26,1,0.001,1,7,0.03
2788,Cd,DR 26,1,10,5,7,0.031
2789,Cd,DR 26,2,10,5,7,0.034
2841,Hg,DR 26,2,10,5,7,0.034
2844,As,DR 26,3,0,0,7,0.039
2850,As,DR 26,3,0.01,2,7,0.042
2860,Cr,DR 26,2,0,0,7,0.043
2823,Zn,DR 26,1,1000,5,7,0.045
2824,Zn,DR 26,2,1000,5,7,0.045
2836,Hg,DR 26,3,0.1,3,7,0.045
2839,Hg,DR 26,3,1,4,7,0.045
2825,Zn,DR 26,3,1000,5,7,0.046
2843,As,DR 26,2,0,0,7,0.046
2849,As,DR 26,2,0.01,2,7,0.046
2855,As,DR 26,2,1,4,7,0.046
2858,As,DR 26,2,10,5,7,0.046
2827,Hg,DR 26,3,0,0,7,0.047
2845,As,DR 26,1,0.001,1,7,0.049
2846,As,DR 26,2,0.001,1,7,0.049
2835,Hg,DR 26,2,0.1,3,7,0.05
2862,Cr,DR 26,1,0.01,1,7,0.05
2826,Hg,DR 26,2,0,0,7,0.051
2838,Hg,DR 26,2,1,4,7,0.051
2847,As,DR 26,3,0.001,1,7,0.051
2773,Cd,DR 26,1,0,0,7,0.052
2774,Cd,DR 26,2,0,0,7,0.052
2784,Cd,DR 26,3,0.1,3,7,0.052
2785,Cd,DR 26,1,1,4,7,0.052
2786,Cd,DR 26,2,1,4,7,0.052
2830,Hg,DR 26,3,0.001,1,7,0.052
2837,Hg,DR 26,1,1,4,7,0.053
2853,As,DR 26,3,0.1,3,7,0.053
2856,As,DR 26,3,1,4,7,0.053
2859,As,DR 26,3,10,5,7,0.053
2775,Cd,DR 26,3,0,0,7,0.054
2777,Cd,DR 26,2,0.001,1,7,0.054
2783,Cd,DR 26,2,0.1,3,7,0.054
2793,Pb,DR 26,3,0,0,7,0.054
2804,Pb,DR 26,2,10,4,7,0.054
2820,Zn,DR 26,1,100,4,7,0.054
2829,Hg,DR 26,2,0.001,1,7,0.054
2851,As,DR 26,1,0.1,3,7,0.054
2861,Cr,DR 26,3,0,0,7,0.054
2779,Cd,DR 26,1,0.01,2,7,0.055
2781,Cd,DR 26,3,0.01,2,7,0.055
2782,Cd,DR 26,1,0.1,3,7,0.055
2792,Pb,DR 26,2,0,0,7,0.055
2795,Pb,DR 26,2,0.01,1,7,0.055
2799,Pb,DR 26,3,0.1,2,7,0.055
2800,Pb,DR 26,1,1,3,7,0.055
2801,Pb,DR 26,2,1,3,7,0.055
2809,Zn,DR 26,2,0,0,7,0.055
2815,Zn,DR 26,2,1,2,7,0.055
3940,Cd,DR 3-2,1,10,5,7,0.055
2787,Cd,DR 26,3,1,4,7,0.056
2794,Pb,DR 26,1,0.01,1,7,0.056
2797,Pb,DR 26,1,0.1,2,7,0.056
2803,Pb,DR 26,1,10,4,7,0.056
2805,Pb,DR 26,3,10,4,7,0.056
2806,Pb,DR 26,1,100,5,7,0.056
2807,Pb,DR 26,2,100,5,7,0.056
2810,Zn,DR 26,3,0,0,7,0.056
2812,Zn,DR 26,2,0.1,1,7,0.056
2817,Zn,DR 26,1,10,3,7,0.056
2776,Cd,DR 26,1,0.001,1,7,0.057
2780,Cd,DR 26,2,0.01,2,7,0.057
2796,Pb,DR 26,3,0.01,1,7,0.057
2814,Zn,DR 26,1,1,2,7,0.057
2816,Zn,DR 26,3,1,2,7,0.057
2818,Zn,DR 26,2,10,3,7,0.057
2822,Zn,DR 26,3,100,4,7,0.057
2811,Zn,DR 26,1,0.1,1,7,0.058
2813,Zn,DR 26,3,0.1,1,7,0.058
2821,Zn,DR 26,2,100,4,7,0.058
2791,Pb,DR 26,1,0,0,7,0.059
2798,Pb,DR 26,2,0.1,2,7,0.059
2802,Pb,DR 26,3,1,3,7,0.059
3942,Cd,DR 3-2,3,10,5,7,0.06
2778,Cd,DR 26,3,0.001,1,7,0.061
3941,Cd,DR 3-2,2,10,5,7,0.064
2819,Zn,DR 26,3,10,3,7,0.066
2834,Hg,DR 26,1,0.1,3,7,0.066
2808,Pb,DR 26,3,100,5,7,0.07
3990,Hg,DR 3-2,3,0.1,3,7,0.07
3987,Hg,DR 3-2,3,0.01,2,7,0.071
4007,As,DR 3-2,2,0.1,3,7,0.071
3955,Pb,DR 3-2,1,10,4,7,0.072
3928,Cd,DR 3-2,1,0.001,1,7,0.073
3934,Cd,DR 3-2,1,0.1,3,7,0.073
3952,Pb,DR 3-2,1,1,3,7,0.073
3977,Zn,DR 3-2,2,1000,5,7,0.073
3988,Hg,DR 3-2,1,0.1,3,7,0.073
3989,Hg,DR 3-2,2,0.1,3,7,0.073
3993,Hg,DR 3-2,3,1,4,7,0.073
3968,Zn,DR 3-2,2,1,2,7,0.074
3976,Zn,DR 3-2,1,1000,5,7,0.074
3985,Hg,DR 3-2,1,0.01,2,7,0.074
3986,Hg,DR 3-2,2,0.01,2,7,0.074
4002,As,DR 3-2,3,0.001,1,7,0.074
4008,As,DR 3-2,3,0.1,3,7,0.074
4009,As,DR 3-2,1,1,4,7,0.074
4024,Cr,DR 3-2,1,1,3,7,0.074
3950,Pb,DR 3-2,2,0.1,2,7,0.075
3967,Zn,DR 3-2,1,1,2,7,0.075
3970,Zn,DR 3-2,1,10,3,7,0.075
4000,As,DR 3-2,1,0.001,1,7,0.075
4004,As,DR 3-2,2,0.01,2,7,0.075
4015,Cr,DR 3-2,1,0,0,7,0.075
3949,Pb,DR 3-2,1,0.1,2,7,0.076
3974,Zn,DR 3-2,2,100,4,7,0.076
3982,Hg,DR 3-2,1,0.001,1,7,0.076
3984,Hg,DR 3-2,3,0.001,1,7,0.076
4001,As,DR 3-2,2,0.001,1,7,0.076
4003,As,DR 3-2,1,0.01,2,7,0.076
4005,As,DR 3-2,3,0.01,2,7,0.076
4018,Cr,DR 3-2,1,0.01,1,7,0.076
4021,Cr,DR 3-2,1,0.1,2,7,0.076
3929,Cd,DR 3-2,2,0.001,1,7,0.077
3931,Cd,DR 3-2,1,0.01,2,7,0.077
3932,Cd,DR 3-2,2,0.01,2,7,0.077
3953,Pb,DR 3-2,2,1,3,7,0.077
3971,Zn,DR 3-2,2,10,3,7,0.077
3983,Hg,DR 3-2,2,0.001,1,7,0.077
3992,Hg,DR 3-2,2,1,4,7,0.077
4006,As,DR 3-2,1,0.1,3,7,0.077
4011,As,DR 3-2,3,1,4,7,0.077
4016,Cr,DR 3-2,2,0,0,7,0.077
3933,Cd,DR 3-2,3,0.01,2,7,0.078
3947,Pb,DR 3-2,2,0.01,1,7,0.078
3951,Pb,DR 3-2,3,0.1,2,7,0.078
3956,Pb,DR 3-2,2,10,4,7,0.078
3959,Pb,DR 3-2,2,100,5,7,0.078
3961,Zn,DR 3-2,1,0,0,7,0.078
3964,Zn,DR 3-2,1,0.1,1,7,0.078
3973,Zn,DR 3-2,1,100,4,7,0.078
3978,Zn,DR 3-2,3,1000,5,7,0.078
3998,As,DR 3-2,2,0,0,7,0.078
4019,Cr,DR 3-2,2,0.01,1,7,0.078
3935,Cd,DR 3-2,2,0.1,3,7,0.079
3937,Cd,DR 3-2,1,1,4,7,0.079
3938,Cd,DR 3-2,2,1,4,7,0.079
4028,Cr,DR 3-2,2,10,4,7,0.079
3927,Cd,DR 3-2,3,0,0,7,0.08
3930,Cd,DR 3-2,3,0.001,1,7,0.08
3936,Cd,DR 3-2,3,0.1,3,7,0.08
3944,Pb,DR 3-2,2,0,0,7,0.08
3948,Pb,DR 3-2,3,0.01,1,7,0.08
3981,Hg,DR 3-2,3,0,0,7,0.08
3997,As,DR 3-2,1,0,0,7,0.08
4025,Cr,DR 3-2,2,1,3,7,0.08
4029,Cr,DR 3-2,3,10,4,7,0.08
3939,Cd,DR 3-2,3,1,4,7,0.081
3945,Pb,DR 3-2,3,0,0,7,0.081
3926,Cd,DR 3-2,2,0,0,7,0.082
3946,Pb,DR 3-2,1,0.01,1,7,0.082
3991,Hg,DR 3-2,1,1,4,7,0.082
4022,Cr,DR 3-2,2,0.1,2,7,0.082
4027,Cr,DR 3-2,1,10,4,7,0.082
3925,Cd,DR 3-2,1,0,0,7,0.083
3957,Pb,DR 3-2,3,10,4,7,0.083
3962,Zn,DR 3-2,2,0,0,7,0.083
3963,Zn,DR 3-2,3,0,0,7,0.083
3995,Hg,DR 3-2,2,10,5,7,0.083
3996,Hg,DR 3-2,3,10,5,7,0.083
4012,As,DR 3-2,1,10,5,7,0.083
18520,Cd,SI 4,1,10,5,7,0.083
3943,Pb,DR 3-2,1,0,0,7,0.084
3954,Pb,DR 3-2,3,1,3,7,0.084
3999,As,DR 3-2,3,0,0,7,0.084
4017,Cr,DR 3-2,3,0,0,7,0.084
4023,Cr,DR 3-2,3,0.1,2,7,0.084
3965,Zn,DR 3-2,2,0.1,1,7,0.085
3994,Hg,DR 3-2,1,10,5,7,0.085
4026,Cr,DR 3-2,3,1,3,7,0.085
3966,Zn,DR 3-2,3,0.1,1,7,0.086
3975,Zn,DR 3-2,3,100,4,7,0.086
4010,As,DR 3-2,2,1,4,7,0.086
4013,As,DR 3-2,2,10,5,7,0.086
3958,Pb,DR 3-2,1,100,5,7,0.087
3969,Zn,DR 3-2,3,1,2,7,0.087
3980,Hg,DR 3-2,2,0,0,7,0.087
3960,Pb,DR 3-2,3,100,5,7,0.088
4032,Cr,DR 3-2,3,100,5,7,0.088
3972,Zn,DR 3-2,3,10,3,7,0.089
3979,Hg,DR 3-2,1,0,0,7,0.089
4030,Cr,DR 3-2,1,100,5,7,0.089
4031,Cr,DR 3-2,2,100,5,7,0.089
4014,As,DR 3-2,3,10,5,7,0.09
4020,Cr,DR 3-2,3,0.01,1,7,0.09
18522,Cd,SI 4,3,10,5,7,0.091
18508,Cd,SI 4,1,0.001,1,7,0.094
18544,Zn,SI 4,1,0.1,1,7,0.094
18546,Zn,SI 4,3,0.1,1,7,0.096
18605,Cr,SI 4,2,1,3,7,0.096
18607,Cr,SI 4,1,10,4,7,0.096
18555,Zn,SI 4,3,100,4,7,0.097
18506,Cd,SI 4,2,0,0,7,0.098
18510,Cd,SI 4,3,0.001,1,7,0.098
18521,Cd,SI 4,2,10,5,7,0.098
18533,Pb,SI 4,2,1,3,7,0.098
18541,Zn,SI 4,1,0,0,7,0.098
18548,Zn,SI 4,2,1,2,7,0.098
18604,Cr,SI 4,1,1,3,7,0.098
18612,Cr,SI 4,3,100,5,7,0.098
18601,Cr,SI 4,1,0.1,2,7,0.099
18566,Hg,SI 4,2,0.01,2,7,0.1
18575,Hg,SI 4,2,10,5,7,0.1
18606,Cr,SI 4,3,1,3,7,0.1
18608,Cr,SI 4,2,10,4,7,0.1
18517,Cd,SI 4,1,1,4,7,0.101
18532,Pb,SI 4,1,1,3,7,0.101
18535,Pb,SI 4,1,10,4,7,0.101
18565,Hg,SI 4,1,0.01,2,7,0.101
18600,Cr,SI 4,3,0.01,1,7,0.101
18609,Cr,SI 4,3,10,4,7,0.101
18505,Cd,SI 4,1,0,0,7,0.102
18558,Zn,SI 4,3,1000,5,7,0.102
18568,Hg,SI 4,1,0.1,3,7,0.102
18573,Hg,SI 4,3,1,4,7,0.102
18574,Hg,SI 4,1,10,5,7,0.102
18611,Cr,SI 4,2,100,5,7,0.102
18514,Cd,SI 4,1,0.1,3,7,0.103
18547,Zn,SI 4,1,1,2,7,0.103
18554,Zn,SI 4,2,100,4,7,0.103
18560,Hg,SI 4,2,0,0,7,0.103
18570,Hg,SI 4,3,0.1,3,7,0.103
18592,As,SI 4,1,10,5,7,0.103
18602,Cr,SI 4,2,0.1,2,7,0.103
18507,Cd,SI 4,3,0,0,7,0.104
18518,Cd,SI 4,2,1,4,7,0.104
18529,Pb,SI 4,1,0.1,2,7,0.104
18543,Zn,SI 4,3,0,0,7,0.104
18545,Zn,SI 4,2,0.1,1,7,0.104
18584,As,SI 4,2,0.01,2,7,0.104
18588,As,SI 4,3,0.1,3,7,0.104
18526,Pb,SI 4,1,0.01,1,7,0.105
18572,Hg,SI 4,2,1,4,7,0.105
18579,As,SI 4,3,0,0,7,0.105
18583,As,SI 4,1,0.01,2,7,0.105
18594,As,SI 4,3,10,5,7,0.105
18599,Cr,SI 4,2,0.01,1,7,0.105
18511,Cd,SI 4,1,0.01,2,7,0.106
18528,Pb,SI 4,3,0.01,1,7,0.106
18569,Hg,SI 4,2,0.1,3,7,0.106
18589,As,SI 4,1,1,4,7,0.106
18593,As,SI 4,2,10,5,7,0.106
18610,Cr,SI 4,1,100,5,7,0.106
18512,Cd,SI 4,2,0.01,2,7,0.107
18571,Hg,SI 4,1,1,4,7,0.107
18603,Cr,SI 4,3,0.1,2,7,0.107
18580,As,SI 4,1,0.001,1,7,0.108
18591,As,SI 4,3,1,4,7,0.108
18515,Cd,SI 4,2,0.1,3,7,0.109
18516,Cd,SI 4,3,0.1,3,7,0.109
18523,Pb,SI 4,1,0,0,7,0.109
18537,Pb,SI 4,3,10,4,7,0.109
18538,Pb,SI 4,1,100,5,7,0.109
18542,Zn,SI 4,2,0,0,7,0.109
18576,Hg,SI 4,3,10,5,7,0.109
18585,As,SI 4,3,0.01,2,7,0.109
18587,As,SI 4,2,0.1,3,7,0.109
18540,Pb,SI 4,3,100,5,7,0.11
18550,Zn,SI 4,1,10,3,7,0.11
18581,As,SI 4,2,0.001,1,7,0.11
18590,As,SI 4,2,1,4,7,0.11
18595,Cr,SI 4,1,0,0,7,0.11
18513,Cd,SI 4,3,0.01,2,7,0.111
18524,Pb,SI 4,2,0,0,7,0.111
18530,Pb,SI 4,2,0.1,2,7,0.111
18531,Pb,SI 4,3,0.1,2,7,0.111
18539,Pb,SI 4,2,100,5,7,0.111
18553,Zn,SI 4,1,100,4,7,0.111
18556,Zn,SI 4,1,1000,5,7,0.111
18561,Hg,SI 4,3,0,0,7,0.111
18586,As,SI 4,1,0.1,3,7,0.111
18598,Cr,SI 4,1,0.01,1,7,0.111
18534,Pb,SI 4,3,1,3,7,0.112
18536,Pb,SI 4,2,10,4,7,0.112
18562,Hg,SI 4,1,0.001,1,7,0.112
18567,Hg,SI 4,3,0.01,2,7,0.112
18582,As,SI 4,3,0.001,1,7,0.112
18596,Cr,SI 4,2,0,0,7,0.112
18519,Cd,SI 4,3,1,4,7,0.113
18577,As,SI 4,1,0,0,7,0.113
18525,Pb,SI 4,3,0,0,7,0.114
18527,Pb,SI 4,2,0.01,1,7,0.114
18549,Zn,SI 4,3,1,2,7,0.114
18578,As,SI 4,2,0,0,7,0.114
18559,Hg,SI 4,1,0,0,7,0.115
18509,Cd,SI 4,2,0.001,1,7,0.116
18551,Zn,SI 4,2,10,3,7,0.117
18597,Cr,SI 4,3,0,0,7,0.118
18552,Zn,SI 4,3,10,3,7,0.119
18557,Zn,SI 4,2,1000,5,7,0.12
18564,Hg,SI 4,3,0.001,1,7,0.122
18563,Hg,SI 4,2,0.001,1,7,0.123
10998,Cd,DR+51,3,10,5,7.033333333,0.067
10997,Cd,DR+51,2,10,5,7.033333333,0.07
11012,Pb,DR+51,2,10,4,7.033333333,0.073
10996,Cd,DR+51,1,10,5,7.033333333,0.079
11008,Pb,DR+51,1,1,3,7.033333333,0.082
11056,As,DR+51,1,0.001,1,7.033333333,0.083
11072,Cr,DR+51,2,0,0,7.033333333,0.083
11009,Pb,DR+51,2,1,3,7.033333333,0.085
11054,As,DR+51,2,0,0,7.033333333,0.085
11055,As,DR+51,3,0,0,7.033333333,0.085
11074,Cr,DR+51,1,0.01,1,7.033333333,0.085
11016,Pb,DR+51,3,100,5,7.033333333,0.086
11057,As,DR+51,2,0.001,1,7.033333333,0.086
11060,As,DR+51,2,0.01,2,7.033333333,0.086
11075,Cr,DR+51,2,0.01,1,7.033333333,0.086
11002,Pb,DR+51,1,0.01,1,7.033333333,0.087
11040,Hg,DR+51,3,0.001,1,7.033333333,0.087
11043,Hg,DR+51,3,0.01,2,7.033333333,0.087
11071,Cr,DR+51,1,0,0,7.033333333,0.087
11077,Cr,DR+51,1,0.1,2,7.033333333,0.087
11080,Cr,DR+51,1,1,3,7.033333333,0.087
11006,Pb,DR+51,2,0.1,2,7.033333333,0.088
11015,Pb,DR+51,2,100,5,7.033333333,0.088
11036,Hg,DR+51,2,0,0,7.033333333,0.088
11039,Hg,DR+51,2,0.001,1,7.033333333,0.088
11076,Cr,DR+51,3,0.01,1,7.033333333,0.088
11053,As,DR+51,1,0,0,7.033333333,0.089
11059,As,DR+51,1,0.01,2,7.033333333,0.089
11073,Cr,DR+51,3,0,0,7.033333333,0.089
11064,As,DR+51,3,0.1,3,7.033333333,0.09
10992,Cd,DR+51,3,0.1,3,7.033333333,0.091
11042,Hg,DR+51,2,0.01,2,7.033333333,0.091
11078,Cr,DR+51,2,0.1,2,7.033333333,0.091
11037,Hg,DR+51,3,0,0,7.033333333,0.092
11038,Hg,DR+51,1,0.001,1,7.033333333,0.092
11049,Hg,DR+51,3,1,4,7.033333333,0.092
11058,As,DR+51,3,0.001,1,7.033333333,0.092
11079,Cr,DR+51,3,0.1,2,7.033333333,0.092
11005,Pb,DR+51,1,0.1,2,7.033333333,0.093
11052,Hg,DR+51,3,10,5,7.033333333,0.093
11061,As,DR+51,3,0.01,2,7.033333333,0.093
11081,Cr,DR+51,2,1,3,7.033333333,0.093
11023,Zn,DR+51,1,1,2,7.033333333,0.094
11035,Hg,DR+51,1,0,0,7.033333333,0.094
11041,Hg,DR+51,1,0.01,2,7.033333333,0.094
11046,Hg,DR+51,3,0.1,3,7.033333333,0.094
11063,As,DR+51,2,0.1,3,7.033333333,0.094
10991,Cd,DR+51,2,0.1,3,7.033333333,0.095
10993,Cd,DR+51,1,1,4,7.033333333,0.095
10994,Cd,DR+51,2,1,4,7.033333333,0.095
11011,Pb,DR+51,1,10,4,7.033333333,0.095
11027,Zn,DR+51,2,10,3,7.033333333,0.095
11030,Zn,DR+51,2,100,4,7.033333333,0.095
11048,Hg,DR+51,2,1,4,7.033333333,0.095
11082,Cr,DR+51,3,1,3,7.033333333,0.095
10995,Cd,DR+51,3,1,4,7.033333333,0.096
11013,Pb,DR+51,3,10,4,7.033333333,0.096
11014,Pb,DR+51,1,100,5,7.033333333,0.096
10983,Cd,DR+51,3,0,0,7.033333333,0.097
10984,Cd,DR+51,1,0.001,1,7.033333333,0.097
10987,Cd,DR+51,1,0.01,2,7.033333333,0.097
11000,Pb,DR+51,2,0,0,7.033333333,0.097
11010,Pb,DR+51,3,1,3,7.033333333,0.097
11017,Zn,DR+51,1,0,0,7.033333333,0.097
11045,Hg,DR+51,2,0.1,3,7.033333333,0.097
11051,Hg,DR+51,2,10,5,7.033333333,0.097
10990,Cd,DR+51,1,0.1,3,7.033333333,0.098
10999,Pb,DR+51,1,0,0,7.033333333,0.098
11007,Pb,DR+51,3,0.1,2,7.033333333,0.098
11024,Zn,DR+51,2,1,2,7.033333333,0.098
11083,Cr,DR+51,1,10,4,7.033333333,0.098
11084,Cr,DR+51,2,10,4,7.033333333,0.098
11020,Zn,DR+51,1,0.1,1,7.033333333,0.099
11026,Zn,DR+51,1,10,3,7.033333333,0.099
11062,As,DR+51,1,0.1,3,7.033333333,0.099
10981,Cd,DR+51,1,0,0,7.033333333,0.1
10982,Cd,DR+51,2,0,0,7.033333333,0.1
10985,Cd,DR+51,2,0.001,1,7.033333333,0.1
11001,Pb,DR+51,3,0,0,7.033333333,0.1
11029,Zn,DR+51,1,100,4,7.033333333,0.1
11050,Hg,DR+51,1,10,5,7.033333333,0.101
11066,As,DR+51,2,1,4,7.033333333,0.101
11021,Zn,DR+51,2,0.1,1,7.033333333,0.102
11044,Hg,DR+51,1,0.1,3,7.033333333,0.102
11087,Cr,DR+51,2,100,5,7.033333333,0.102
11025,Zn,DR+51,3,1,2,7.033333333,0.103
11031,Zn,DR+51,3,100,4,7.033333333,0.103
11033,Zn,DR+51,2,1000,5,7.033333333,0.103
11067,As,DR+51,3,1,4,7.033333333,0.103
11085,Cr,DR+51,3,10,4,7.033333333,0.103
11086,Cr,DR+51,1,100,5,7.033333333,0.103
10988,Cd,DR+51,2,0.01,2,7.033333333,0.104
10989,Cd,DR+51,3,0.01,2,7.033333333,0.104
11019,Zn,DR+51,3,0,0,7.033333333,0.104
11065,As,DR+51,1,1,4,7.033333333,0.104
11069,As,DR+51,2,10,5,7.033333333,0.104
11003,Pb,DR+51,2,0.01,1,7.033333333,0.105
11004,Pb,DR+51,3,0.01,1,7.033333333,0.105
11022,Zn,DR+51,3,0.1,1,7.033333333,0.105
11032,Zn,DR+51,1,1000,5,7.033333333,0.105
11028,Zn,DR+51,3,10,3,7.033333333,0.106
11068,As,DR+51,1,10,5,7.033333333,0.106
11070,As,DR+51,3,10,5,7.033333333,0.106
11047,Hg,DR+51,1,1,4,7.033333333,0.107
11088,Cr,DR+51,3,100,5,7.033333333,0.107
10986,Cd,DR+51,3,0.001,1,7.033333333,0.108
11034,Zn,DR+51,3,1000,5,7.033333333,0.111
11018,Zn,DR+51,2,0,0,7.033333333,0.12
17260,Cd,SI 2,1,10,5,7.116666667,0.002
17261,Cd,SI 2,2,10,5,7.116666667,0.003
17262,Cd,SI 2,3,10,5,7.116666667,0.003
17296,Zn,SI 2,1,1000,5,7.116666667,0.003
17297,Zn,SI 2,2,1000,5,7.116666667,0.003
17298,Zn,SI 2,3,1000,5,7.116666667,0.003
17257,Cd,SI 2,1,1,4,7.116666667,0.004
17258,Cd,SI 2,2,1,4,7.116666667,0.004
17259,Cd,SI 2,3,1,4,7.116666667,0.004
17246,Cd,SI 2,2,0,0,7.116666667,0.023
17253,Cd,SI 2,3,0.01,2,7.116666667,0.024
17255,Cd,SI 2,2,0.1,3,7.116666667,0.024
