,,ID,Sampleold,Sample,Distance,Distanceriver,up.down,Location North,Location West,Date Sampled,Site ID,Spill Reference,Scheme,Top,Depth,Core ,HgcA,FeRB,SRB,
4.4,41,41,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,0,8,S3,45.3870154,1278.374353,8.905130231,1980.55
4.4,42,42,L-08,L-01,0,4.4,5,N 36 29.188,W 079 43.025,7/15/2015,D-08,Leaching,B,8,16,S3,35.344089,763.1283326,7.732089806,1637.46
5.11,43,43,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S1,53.44109746,606.7258949,9.441410156,8678.47
5.11,44,44,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S1,126.7480947,659.6344935,8.525437948,7124.49
5.11,45,45,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S2,44.66519209,686.4547877,8.873404787,2709.91
5.11,46,46,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S2,67.92089032,589.1120522,9.342764683,1908.69
5.11,47,47,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,0,8,S3,87.98765718,800.5408596,10.3114728,1165.15
5.11,48,48,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,B,8,16,S3,59.62958039,577.4380196,11.27649833,2421.48
5.11,49,49,D-09,D-01,0.3,5.11,7,N 36 29.471,W 079 42.722,7/15/2015,D-09,Downstream,Dredge,,,,20.66701716,236.0597344,12.33577749,4601.51
8.34,50,50,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,0,4,Pooled,6.37424819,3.597586845,0.83675167,194.68
8.34,51,51,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,4,8,Pooled,23.51346186,61.95579547,1.247625257,827.3
8.34,52,52,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,8,12,Pooled,16.47568937,51.83387894,1.464386375,548.04
8.34,53,53,D-11,D-02,1,8.34,8,N 36 29.895,W 079 40.836,7/22/2015,D-11,Downstream,C,12,16,Pooled,0.891215127,1.793308008,0.485546505,21.23
36.71,9,9,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,0,4,Pooled,0.769355837,0.590784491,0.743232368,10.88
36.71,10,10,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,4,8,Pooled,1.610184314,0.320836327,1.139811119,16.27
36.71,11,11,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,8,12,Pooled,0.713521541,0.420120858,0.946439213,11
36.71,12,12,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,12,16,Pooled,0.411500029,0.443248573,0.598556648,8.83
36.71,13,13,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,C,18,20,Pooled,117.7145422,530.1058951,11.72218451,3702.62
36.71,14,14,D-02,D-03,4.3,36.7,10,N 36 34.716,W 079 29.596,7/7/2015,D-02,Downstream,Ponar,,,,281.871865,3286.813169,31.7326489,21588.39
40.65,1,1,D-01,D-03,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S1,46.31133864,151.8058201,81.29402871,376.01
40.65,5,5,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,B,0,8,S3,1.273885341,0.499706759,1.276719949,9.46
40.65,7,7,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Dredge,,,,5.046446762,0.456048722,1.311690469,68.13
40.65,8,8,D-01,D-04,36.6,40.7,11,N 36 34.514,W 079 27.024,7/7/2015,D-01,Downstream,Ponar,,,,551.6234924,1048.335371,15.01089028,95685.99
42.1,15,15,D-03,D-04,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,0,8,Pooled,0.343459988,0.365000005,2.273701563,4.33
42.1,16,16,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,A,8,16,Pooled,0.642932904,1.346911522,1.401433081,7.05
42.1,17,17,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,na,20,22,Pooled,7.546871607,15.30230849,0.631513726,145.15
42.1,18,18,D-03,D-05,38,42.1,12,N 36 34.448,W 079 26.211,7/7/2015,D-03,Downstream,Ponar,,,,104.439914,1977.505326,15.2082941,6960.56
64.67,34,34,D-07,D-05,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,0,8,Pooled,31.26328526,430.1564062,2.538617614,925.73
64.67,35,35,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,A,8,16,Pooled,1.600912045,3.359466634,0.115978427,30.51
64.67,36,36,D-07,D-06,64.7,68.8,13,N 36 32.279,W 079 13.038,7/9/2015,D-07,Downstream,Dredge,,,,5.801385357,159.0743014,4.964802246,2336.7
,,,,D-06,,,,,,,,,,,,,,,,
